datetime,date,time,city,state,country,shape,duration (seconds),duration (hours/min),comments,latitude,longitude,lighting_conditions
12/27/2013 21:00,2013-12-27,21:00,quakertown,pa,us,light,300,5 minutes,Fire balls with no strobes moving very slowly.,40.44,-75.34,night
12/27/2013 21:12,2013-12-27,21:12,santa rosa,ca,us,formation,8,8 seconds,Diamond formation&#44 two red&#44 two green lights.,38.44,-122.71,night
12/27/2013 21:30,2013-12-27,21:30,rochester,mn,us,light,7200,2 hours,Red/White Flashing Hovering Light.,44.02,-92.47,night
12/27/2013 22:10,2013-12-27,22:10,port charlotte,fl,us,triangle,180,2-3 minutes,V or diamond shaped object&#44 100 to 200 feet up&#44 stationary&#44 then Southbound and vanished&#44 LARGE&#44 others on road taking pics.,26.98,-82.09,night
12/27/2013 22:15,2013-12-27,22:15,calabash,nc,us,formation,120,2 minutes,Slow moving light formation.,33.89,-78.57,night
12/27/2013 23:00,2013-12-27,23:00,anaheim hills/yorba linda/imperial blvd close to 91 freeway,ca,,unknown,20,15-20 seconds,Huge blue and green spheres orbiting a center object while the whole thing zipped around.,36.78,-119.42,night
12/27/2013 23:00,2013-12-27,23:00,corona,sd,us,light,5,5 seconds,3 triangular light forms. White&#44 blue&#44 green. Flashed across sky silently&#44 and quickly. Another report on fb stated location.,45.33,-96.76,night
12/28/2007 04:00,2007-12-28,04:00,satellite beach,fl,us,sphere,7200,couple of hours,Naked eye watching early morning sky finds Mars planetary movement vs. an unidentifiable object hovering like a helicopter.,28.18,-80.59,night
12/28/2007 08:05,2007-12-28,08:05,nacogdoches,tx,us,unknown,4,4 seconds,What might this be?,31.6,-94.66,daylight
12/28/2007 19:00,2007-12-28,19:00,bay city,tx,us,triangle,900,10-15 minutes,Sightings of object in Bay City&#44 Texas,28.98,-95.97,night
12/28/2007 20:30,2007-12-28,20:30,westwood,ca,us,diamond,300,3 to 5 min,silent diamond shape w/ four blue/white lighs and a large red light in center of bottom.,40.31,-121.0,night
12/28/2007 23:19,2007-12-28,23:19,omaha,ne,us,circle,2,few seconds,Green speedy circle over 100th Street and I-80 in Omaha&#44 NE travelling east bound,41.26,-95.94,night
12/28/2008 01:00,2008-12-28,01:00,iron mountain,mi,us,light,30,30 seconds,Four unexplained lights seen near highway in the Upper Peninsula of Michigan,45.82,-88.07,night
12/28/2008 03:30,2008-12-28,03:30,batesville,in,us,unknown,1,split second,Green explosion/flash lighting up the whole sky for an instant similar color to the Alaskian northern light green,39.3,-85.22,night
12/28/2008 05:30,2008-12-28,05:30,fort fairfield,me,us,other,15,15sec,I saw a star like object shoot stright up and dissiapere,46.77,-67.83,night
